username,study_id,area_id,band_id
pch,1,01.001.000100.1,1
pch,1,01.001.000100.2,2
pch,1,01.001.000200.1,3
pch,1,01.001.000300.1,4
pch,1,01.002.000300.1,5
pch,1,01.002.000300.2,6
pch,1,01.002.000300.3,7
pch,1,01.002.000300.4,8
pch,1,01.002.000300.5,9
pch,1,01.002.000400.1,10
pch,1,01.002.000400.2,11
pch,1,01.002.000400.3,12
pch,1,01.002.000400.4,13
pch,1,01.002.000400.5,14
pch,1,01.002.000400.6,15
pch,1,01.002.000400.7,16
pch,1,01.002.000400.8,17
pch,1,01.002.000400.9,18
pch,1,01.002.000500.1,19
pch,1,01.002.000500.2,20
pch,1,01.002.000500.3,21
pch,1,01.002.000500.4,22
pch,1,01.002.000500.5,23
pch,1,01.002.000500.6,24
pch,1,01.002.000500.7,25
pch,1,01.002.000500.8,26
pch,1,01.002.000500.9,27
pch,1,01.002.000600.1,28
pch,1,01.002.000600.2,29
pch,1,01.002.000600.3,30
pch,1,01.002.000600.4,31
pch,1,01.002.000600.5,32
pch,1,01.002.000600.6,33
pch,1,01.002.000600.7,34
pch,1,01.002.000600.8,35
pch,1,01.002.000600.9,36
pch,1,01.002.000700.1,37
pch,1,01.002.000700.2,38
pch,1,01.002.000700.3,39
pch,1,01.002.000700.4,40
pch,1,01.002.000700.5,41
pch,1,01.002.000700.6,42
pch,1,01.002.000700.7,43
pch,1,01.002.000800.1,44
pch,1,01.002.000800.2,45
pch,1,01.002.000800.3,46
pch,1,01.002.000800.4,47
pch,1,01.002.000800.5,48
pch,1,01.002.000800.6,49
pch,1,01.002.000800.7,50
pch,1,01.002.000900.1,51
pch,1,01.002.000900.2,52
pch,1,01.002.000900.3,53
pch,1,01.002.000900.4,54
pch,1,01.002.000900.5,55
pch,1,01.002.000900.6,56
pch,1,01.002.000900.7,57
pch,1,01.002.000900.8,58
pch,1,01.002.000900.9,59
pch,1,01.002.001000.1,60
pch,1,01.002.001000.2,61
pch,1,01.002.001000.3,62
pch,1,01.002.001000.4,63
pch,1,01.002.001000.5,64
pch,1,01.002.001000.6,65
pch,1,01.002.001000.7,66
pch,1,01.002.001100.1,67
pch,1,01.002.001100.2,68
pch,1,01.002.001100.3,69
